ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S0,Greedy,1.0,0,0,0,15,0,0.097,0.8599,0.0986,0.4889,0.1401,1.0,0,0.475,,0
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S0,Greedy reaktiv,1.0,0,0,0,15,0,0.097,0.8599,0.0986,0.4889,0.1401,1.0,0,0.419,,0
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S0,MILP,1.0,0,0,0,0,0,0.1037,0.8685,0.0058,0.021,0.1315,1.0,0,15.439,0,0
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1037,0.8685,0.0058,0.021,0.1315,1.0,0,0.172,0,0
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S0,Greedy auf MILP-Plan,1.0,0,0,0,2,0,0.1037,0.8685,0.0058,0.021,0.1315,0.9943,2,0.387,,0
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S0,MILP auf Greedy-Plan,1.0,0,0,0,15,0,0.097,0.8599,0.0986,0.4889,0.1401,1.0,0,0.164,0,0
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S1,Greedy,1.0,0,0,0,18,0,0.097,0.8903,0.098,0.4889,0.1097,0.4367,249,0.453,,5940
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S1,Greedy reaktiv,0.9967,1,0,1,14,1,0.094,0.8901,0.1029,0.4968,0.1099,0.9024,36,0.402,,5940
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S1,MILP,1.0,0,0,0,0,0,0.0936,0.8871,0.0081,0.035,0.1129,0.1878,385,6.884,0,4095
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S1,MILP reaktiv,1.0,0,0,0,0,0,0.0936,0.8887,0.0309,0.1184,0.1113,0.9499,18,0.644,0,4095
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S1,Greedy auf MILP-Plan,1.0,0,0,0,3,0,0.0936,0.8923,0.0511,0.2532,0.1142,0.9103,33,0.442,,4095
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S1,MILP auf Greedy-Plan,1.0,0,0,0,14,0,0.0967,0.9026,0.0864,0.5155,0.1074,0.9235,28,0.212,0,5940
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S2,Greedy,0.9967,1,0,1,16,1,0.104,0.8772,0.0948,0.4889,0.1228,0.7256,107,0.514,,4095
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S2,Greedy reaktiv,0.9866,3,1,3,14,3,0.1017,0.8679,0.1013,0.4889,0.1321,0.958,15,0.421,,4095
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S2,MILP,1.0,0,0,0,0,0,0.107,0.8922,0.0153,0.0815,0.1078,0.1992,378,8.288,0,5535
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S2,MILP reaktiv,1.0,0,0,0,0,0,0.1104,0.8957,0.0505,0.2158,0.1108,0.9391,22,0.183,0,5535
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S2,Greedy auf MILP-Plan,1.0,0,0,0,3,0,0.107,0.8941,0.0397,0.1379,0.1059,0.8973,38,0.416,,5535
geriatrie,20261133,1.0,26,22.6,14.91,19.1,299,S2,MILP auf Greedy-Plan,1.0,0,0,0,14,0,0.1037,0.8805,0.0936,0.4889,0.1195,0.9444,20,0.191,0,4095
geriatrie,4711,1.0,26,23.1,15.36,19.66,308,S0,Greedy,1.0,0,0,0,19,0,0.0974,0.8495,0.0618,0.2778,0.1505,1.0,0,0.505,,0
