ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S0,Greedy,1.0,0,0,0,14,0,0.0,0.9122,0.0267,0.0877,0.0878,1.0,0,0.327,,0
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S0,Greedy reaktiv,1.0,0,0,0,14,0,0.0,0.9122,0.0267,0.0877,0.0878,1.0,0,0.311,,0
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S0,MILP,1.0,0,0,0,0,0,0.0,0.9099,0.011,0.051,0.0901,1.0,0,4.95,0,0
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S0,MILP reaktiv,1.0,0,0,0,0,0,0.0,0.9099,0.011,0.051,0.0901,1.0,0,0.126,0,0
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S0,Greedy auf MILP-Plan,1.0,0,0,0,2,0,0.0,0.9099,0.011,0.051,0.0901,0.9495,14,0.292,,0
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S0,MILP auf Greedy-Plan,1.0,0,0,0,14,0,0.0,0.9122,0.0267,0.0877,0.0878,1.0,0,0.126,0,0
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S1,Greedy,1.0,0,0,0,15,0,0.0,0.9495,0.019,0.0617,0.0505,0.3543,226,0.344,,5040
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S1,Greedy reaktiv,0.9955,1,1,0,14,0,0.0,0.9555,0.0723,0.2358,0.0797,0.8982,29,0.319,,5040
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S1,MILP,1.0,0,0,0,0,0,0.0,0.9516,0.0118,0.0406,0.0484,0.1896,295,3.471,0,4995
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S1,MILP reaktiv,1.0,0,0,0,1,0,0.0,0.9652,0.0444,0.1524,0.0469,0.9181,23,0.159,0,4995
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S1,Greedy auf MILP-Plan,1.0,0,0,0,4,0,0.0,0.9564,0.0452,0.1596,0.0532,0.8621,40,0.336,,4995
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S1,MILP auf Greedy-Plan,1.0,0,0,0,14,0,0.0,0.9492,0.0261,0.0843,0.0508,0.9253,21,0.359,0,5040
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S2,Greedy,1.0,0,0,0,13,0,0.0,0.9418,0.0387,0.1753,0.0647,0.7774,67,0.391,,3150
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S2,Greedy reaktiv,1.0,0,0,0,14,0,0.0,0.9451,0.0403,0.1516,0.0572,0.9359,18,0.354,,3150
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S2,MILP,1.0,0,0,0,0,0,0.0,0.9311,0.013,0.0584,0.0689,0.2314,269,30.063,1,2700
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S2,MILP reaktiv,1.0,0,0,0,2,0,0.0,0.9272,0.0356,0.1353,0.0742,0.9599,11,0.137,0,2700
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S2,Greedy auf MILP-Plan,1.0,0,0,0,5,0,0.0,0.9269,0.0263,0.1046,0.0731,0.8979,29,0.323,,2700
herzchirurgie,20261133,1.0,20,17.8,10.99,14.07,220,S2,MILP auf Greedy-Plan,1.0,0,0,0,13,0,0.0,0.9444,0.0389,0.1516,0.0579,0.9462,15,0.349,0,3150
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S0,Greedy,1.0,0,0,0,16,0,0.0,0.9108,0.0275,0.0998,0.0892,1.0,0,0.39,,0
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S0,Greedy reaktiv,1.0,0,0,0,16,0,0.0,0.9108,0.0275,0.0998,0.0892,1.0,0,0.562,,0
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S0,MILP,1.0,0,0,0,2,0,0.0,0.9082,0.0088,0.039,0.0918,1.0,0,3.758,0,0
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S0,MILP reaktiv,1.0,0,0,0,2,0,0.0,0.9082,0.0088,0.039,0.0918,1.0,0,0.135,0,0
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S0,Greedy auf MILP-Plan,1.0,0,0,0,4,0,0.0,0.9082,0.0088,0.039,0.0918,0.971,8,0.328,,0
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S0,MILP auf Greedy-Plan,1.0,0,0,0,16,0,0.0,0.9108,0.0275,0.0998,0.0892,1.0,0,0.137,0,0
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S1,Greedy,1.0,0,0,0,16,0,0.0,0.9622,0.0275,0.1088,0.043,0.4355,197,0.352,,6795
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S1,Greedy reaktiv,1.0,0,0,0,13,0,0.0,0.9605,0.0239,0.0959,0.0395,0.8601,41,0.308,,6795
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S1,MILP,1.0,0,0,0,2,0,0.0,0.9456,0.009,0.0348,0.0544,0.1816,293,5.665,0,5400
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S1,MILP reaktiv,1.0,0,0,0,5,0,0.0,0.947,0.0403,0.1415,0.0597,0.9181,23,0.167,0,5400
herzchirurgie,4711,1.0,19,17.5,10.99,14.07,220,S1,Greedy auf MILP-Plan,1.0,0,0,0,6,0,0.0,0.9502,0.0646,0.1948,0.0772,0.8885,32,0.328,,5400
