ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S0,Greedy,1.0,0,0,0,22,0,0.0,0.878,0.0988,0.3701,0.122,1.0,0,0.705,,0
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S0,Greedy reaktiv,1.0,0,0,0,22,0,0.0,0.878,0.0988,0.3701,0.122,1.0,0,0.52,,0
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S0,MILP,1.0,0,0,0,0,0,0.0,0.8848,0.0151,0.0909,0.1152,1.0,0,30.073,1,0
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S0,MILP reaktiv,1.0,0,0,0,0,0,0.0,0.8848,0.0151,0.0909,0.1152,1.0,0,0.2,0,0
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S0,Greedy auf MILP-Plan,1.0,0,0,0,3,0,0.0,0.8848,0.0151,0.0909,0.1152,0.9697,12,0.483,,0
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S0,MILP auf Greedy-Plan,1.0,0,0,0,22,0,0.0,0.878,0.0988,0.3701,0.122,1.0,0,0.209,0,0
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S1,Greedy,1.0,0,0,0,22,0,0.0,0.925,0.1019,0.3945,0.075,0.2139,430,0.802,,9720
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S1,Greedy reaktiv,1.0,0,0,0,22,0,0.0,0.9313,0.1192,0.5173,0.0952,0.8663,56,0.738,,9720
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S1,MILP,1.0,0,0,0,0,0,0.0,0.9409,0.0127,0.0747,0.0591,0.1597,463,13.522,0,10980
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S1,MILP reaktiv,1.0,0,0,0,1,0,0.0,0.9446,0.0353,0.1263,0.0565,0.8878,46,1.148,0,10980
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S1,Greedy auf MILP-Plan,1.0,0,0,0,7,0,0.0,0.9498,0.0622,0.2397,0.0692,0.8329,71,0.554,,10980
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S1,MILP auf Greedy-Plan,1.0,0,0,0,22,0,0.0,0.9346,0.0394,0.1899,0.0654,0.9027,40,0.645,0,9720
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S2,Greedy,1.0,0,0,0,20,0,0.0,0.9157,0.0997,0.3918,0.0843,0.6078,182,0.573,,6930
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S2,Greedy reaktiv,1.0,0,0,0,21,0,0.0,0.923,0.1135,0.5173,0.092,0.9216,32,0.5,,6930
intensiv,20261133,1.0,31,25.0,16.76,21.47,336,S2,MILP,1.0,0,0,0,0,0,0.0,0.9165,0.0045,0.0212,0.0835,0.1899,435,17.694,0,5445
