ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
innere,20261133,1.0,23,18.7,11.81,15.13,237,S0,Greedy,1.0,0,0,0,15,0,0.0928,0.8471,0.0694,0.3735,0.1624,1.0,0,0.435,,0
innere,20261133,1.0,23,18.7,11.81,15.13,237,S0,Greedy reaktiv,1.0,0,0,0,15,0,0.0928,0.8471,0.0694,0.3735,0.1624,1.0,0,0.396,,0
innere,20261133,1.0,23,18.7,11.81,15.13,237,S0,MILP,1.0,0,0,0,0,0,0.0928,0.836,0.0139,0.0685,0.164,1.0,0,30.059,1,0
innere,20261133,1.0,23,18.7,11.81,15.13,237,S0,MILP reaktiv,1.0,0,0,0,0,0,0.0928,0.836,0.0139,0.0685,0.164,1.0,0,0.15,0,0
innere,20261133,1.0,23,18.7,11.81,15.13,237,S0,Greedy auf MILP-Plan,1.0,0,0,0,1,0,0.0928,0.836,0.0139,0.0685,0.164,0.9863,4,0.346,,0
innere,20261133,1.0,23,18.7,11.81,15.13,237,S0,MILP auf Greedy-Plan,1.0,0,0,0,15,0,0.0928,0.8471,0.0694,0.3735,0.1624,1.0,0,0.151,0,0
innere,20261133,1.0,23,18.7,11.81,15.13,237,S1,Greedy,1.0,0,0,0,17,0,0.0886,0.8744,0.0668,0.3746,0.1365,0.3247,262,0.442,,4140
innere,20261133,1.0,23,18.7,11.81,15.13,237,S1,Greedy reaktiv,1.0,0,0,0,15,0,0.0886,0.8776,0.0795,0.3735,0.1331,0.9269,22,0.369,,4140
innere,20261133,1.0,23,18.7,11.81,15.13,237,S1,MILP,1.0,0,0,0,0,0,0.097,0.8777,0.0133,0.0649,0.1223,0.1855,325,6.228,0,5490
innere,20261133,1.0,23,18.7,11.81,15.13,237,S1,MILP reaktiv,1.0,0,0,0,2,0,0.0928,0.8806,0.0352,0.1429,0.1194,0.92,24,0.945,0,5490
innere,20261133,1.0,23,18.7,11.81,15.13,237,S1,Greedy auf MILP-Plan,1.0,0,0,0,6,0,0.0928,0.8847,0.0664,0.2796,0.1246,0.8827,36,0.455,,5490
