seed,verfahren,keep,fair,spanne,streuung,planstabilitaet,geaenderte_zuweisungen,weiche_abweichungen,harte_verstoesse,offene_slots,ref_spanne
20261133,Regelbasiert,,,0.3735177865612648,0.0721228991521248,0.9333333333333333,20,15,0,0,0.3735177865612648
20261133,MILP/keep,200.0,0.02,0.3735177865612648,0.07170849754526615,0.939799331103679,18,15,0,0,0.3735177865612648
20261133,MILP/keep,50.0,0.02,0.3735177865612648,0.07059549588605206,0.9333333333333333,20,15,0,0,0.3735177865612648
20261133,MILP/keep,20.0,0.02,0.2629870129870129,0.05489902025390499,0.8150470219435737,59,4,0,0,0.3735177865612648
20261133,MILP/keep,5.0,0.02,0.0910308851442887,0.022075626797958908,0.6982248520710059,102,1,0,0,0.3735177865612648
20261133,MILP/keep,0.0,0.02,0.06505685917026272,0.013031658288105671,0.16222760290556903,346,0,0,0,0.3735177865612648
20261133,MILP/fair,200.0,0.02,0.3735177865612648,0.07170849754526615,0.939799331103679,18,15,0,0,0.3735177865612648
20261133,MILP/fair,200.0,0.1,0.25757575757575746,0.056193696834397594,0.9273927392739274,22,15,0,0,0.3735177865612648
20261133,MILP/fair,200.0,0.3,0.24901185770750978,0.05449768933852967,0.9243421052631579,23,15,0,0,0.3735177865612648
20261133,MILP/fair,200.0,1.0,0.10401789813130169,0.025188602552246347,0.9049180327868852,29,15,0,0,0.3735177865612648
20261133,MILP/fair,200.0,3.0,0.07792207792207784,0.01957684610630976,0.8950819672131147,32,16,0,0,0.3735177865612648
4711,Regelbasiert,,,0.31464646464646473,0.0673092236263289,0.9046052631578947,29,17,1,1,0.2304713804713805
4711,MILP/keep,200.0,0.02,0.2785714285714286,0.06168672038731808,0.9205298013245033,24,17,0,0,0.2304713804713805
4711,MILP/keep,50.0,0.02,0.20357142857142851,0.049533596926284985,0.9141914191419142,26,15,0,0,0.2304713804713805
4711,MILP/keep,20.0,0.02,0.14220779220779223,0.03538196568017521,0.796875,65,3,0,0,0.2304713804713805
4711,MILP/keep,5.0,0.02,0.05699855699855705,0.01683781315570755,0.6627906976744187,116,0,0,0,0.2304713804713805
4711,MILP/keep,0.0,0.02,0.045454545454545414,0.010372512374028827,0.14117647058823535,365,0,0,0,0.2304713804713805
4711,MILP/fair,200.0,0.02,0.2785714285714286,0.06168672038731808,0.9205298013245033,24,17,0,0,0.2304713804713805
4711,MILP/fair,200.0,0.1,0.11544011544011545,0.032341453252684456,0.9084967320261438,28,17,0,0,0.2304713804713805
4711,MILP/fair,200.0,0.3,0.09253246753246758,0.02655332357615396,0.9025974025974026,30,17,0,0,0.2304713804713805
